,dec,inc,site_lat,site_lon,vgp_lat,vgp_lon
18,"[178.30129753298397, 179.23311073455616, 177.49921504092742, 181.32990032360664, 181.63964540913187, 179.75979633775145, 176.52647892399654, 176.30387864091594]","[64.083394404311974, 60.414009754978323, 61.189083850036667, 62.128203486390341, 61.679799001749188, 60.875667593048412, 60.812744355364586, 65.360585064230989]",-45.0,240.0,"[88.554204174019063, 86.326343708397175, 86.727888856302314, 88.132517499283068, 87.552153255419313, 86.900711027305334, 85.950965315405739, 86.446765414321007]","[114.96755198153943, 230.98079081885197, 205.55289879433826, 271.16566484430791, 269.41391916389648, 236.69167139731854, 200.2575989956286, 104.67943395677662]"
19,"[175.01482985431218, 174.90673636166798, 179.9947179850993, 181.87796463777974, 183.88195022154801, 181.10395403575762, 176.16449413336744, 179.68466826840435]","[65.826357900849231, 65.881890711635847, 61.34845007828573, 62.033218581798558, 60.560745492052995, 60.005496207603848, 60.698317264856009, 66.815865822761396]",-45.0,270.0,"[85.389513432168044, 85.286676982027103, 87.46178221191181, 87.81470054150985, 85.532525814911111, 85.820936899985838, 85.679336010101139, 85.576384279930338]","[136.23545350144548, 136.11280546336883, 269.91201032030204, 308.73140204171227, 310.58420753377146, 281.52727048957706, 228.47506517115443, 92.660514203865432]"
20,"[183.10537902003188, 176.47429014893359, 178.93993821213087, 184.14817763892569, 181.58640947994564, 180.14642354845759, 180.45523884030902, 180.66998725627408]","[65.468986093020064, 67.070326506755606, 62.063082742732419, 60.769227318826175, 61.699916307254725, 58.641518449094946, 63.424824155220243, 64.707983097388308]",-45.0,300.0,"[86.621024162768848, 84.670182864142873, 88.151904107084945, 85.591390986808094, 87.591692640994282, 84.366734327089276, 89.677813811979519, 88.315871224663539]","[81.711280214575481, 145.31614380315978, 275.33010803456801, 344.56530904605393, 328.86730539255905, 301.15327372142241, 27.910025539994876, 104.14034923905518]"
21,"[182.272036522109, 178.64979554341417, 179.48975006793233, 183.08904826336047, 181.71730843555423, 179.12797221063926, 181.31192611823857, 181.97028283438001]","[66.058209792286618, 62.964166228962824, 61.002968908295941, 58.151060512281994, 57.293104251071782, 59.136071032375789, 63.670391277468205, 63.06790503194599]",-45.0,330.0,"[86.265656855685265, 88.876235312946562, 87.031571786512615, 83.417035006152673, 82.789862931586796, 84.876538255867516, 89.028781844579584, 88.528664094926327]","[126.16085327687011, 270.88568295098656, 322.66407931697245, 351.48007780202715, 340.85938501612532, 322.489355138728, 78.1596771862433, 42.616721289527732]"
22,"[182.52855951154899, 185.07195358068509, 179.21798161782539, 179.88712488458083, 179.58046079643884, 177.56142008763305, 182.71532033249036, 184.80807972160943]","[67.439394408203626, 67.90772080503973, 61.536813926566374, 57.143754632005816, 58.016572218615018, 62.66618438279037, 62.282673726896348, 64.893566168371407]",-45.0,360.0,"[84.456048230334844, 83.170010833864566, 87.617595261384196, 82.745757113997399, 83.675942998221856, 88.01826425391873, 87.593803661591579, 86.175012612429754]","[163.0317493451974, 152.06083872251446, 346.03358631121807, 359.29314809862171, 357.02555277704948, 297.82830614746928, 54.825000590189688, 120.7751860015664]"
23,"[181.37403785688852, 183.56159557345296, 182.17600718587906, 182.74516448875636, 185.40312126836349, 186.12977383538424, 184.28602735187567, 181.85234032104171]","[61.235649577403613, 60.617768626518341, 61.674390517188087, 62.298160481899551, 65.42848774318955, 65.119971223797066, 63.519826513759405, 62.192145339679776]",-45.0,360.0,"[87.149668379786334, 85.729734459838838, 87.338993740734566, 87.587724336898944, 85.475212656309736, 85.235514139290302, 86.970624292108468, 87.975843644014432]","[20.885404940865783, 38.595930510719768, 36.840753342825792, 55.490766280800472, 126.34299406334964, 119.0442192268643, 93.52522452467764, 41.616258792597819]"
24,"[179.33827207367307, 178.00541021199024, 175.13025411066596, 176.64592358595158, 176.11742967959526, 173.14960760246967, 176.26131921142888, 174.64221551895054]","[58.604643986872524, 57.178138618405107, 58.978612722673446, 59.153654993376108, 61.066892233461154, 60.919133998656214, 61.046729966060163, 62.167084921702859]",-45.0,180.0,"[84.305999418581294, 82.629971590463825, 83.631188446467348, 84.3658165597287, 85.981867937006029, 84.174415335194766, 86.036468656697636, 85.856984093506568]","[174.83391323862259, 167.61724662601159, 143.95277172277355, 152.81076436711169, 134.22174006672299, 119.08544147058842, 135.58275638324864, 110.21151220577678]"
25,"[178.97755134460098, 175.87190134653741, 174.96848939645275, 175.63592869970171, 176.02848068954995, 172.59454601797998, 176.24164002430444, 175.15479036979946]","[57.670223308765074, 57.926547452345481, 58.413514599516077, 58.872669964163101, 60.856188469626908, 61.185010698100342, 61.067116851759259, 61.472952032550012]",-45.0,180.0,"[83.265871805474418, 82.888284687734682, 83.034371353661868, 83.731711944617217, 85.754670164560736, 83.987727371898089, 86.044485156075197, 85.76532182437164]","[173.14214181158712, 152.96677156034252, 145.86869399642296, 147.53317452464779, 135.84735302388611, 114.4105984858287, 135.19353839476554, 122.66301727189415]"
26,"[180.37209546483513, 179.1328648400962, 177.53010735803693, 176.331963802367, 174.85084276391223, 173.00892056631949, 174.53071393866895, 174.23198202373348]","[-6.9262082405046659, -6.3656044240459062, -1.6872906773112357, -1.0504314221938322, -3.359678099052624, -4.5425469054565433, -6.3071604630123534, -3.5763042135323806]",0.0,180.0,"[86.504361811711931, 86.691800194265582, 87.390024000163393, 86.294597129831018, 84.584012333063868, 82.649869667982742, 83.684283578021038, 83.961546031160978]","[186.10293662014772, 164.82039995927931, 108.86921129600671, 98.155027667951686, 108.11034353177808, 108.07530135615201, 120.10595866225054, 107.27254419514162]"
27,"[181.79442170127987, 178.04640507826278, 176.79312816711894, 177.66032618452934, 175.42768178739701, 171.90924901591438, 174.23744347043697, 174.5897881341927]","[-6.2717368344160409, -5.9210447100636205, -2.8582124344501976, -2.4338693951691548, -2.5362534495968183, -3.8282897125282416, -5.5200569893433098, -4.1241783862406507]",0.0,180.0,"[86.379286819615956, 86.446860624860335, 86.489048667684713, 87.362668647598269, 85.255276900886031, 81.686880718927767, 83.609814889230393, 84.210270984368762]","[209.67640824171633, 146.67893305879124, 114.04842073290934, 117.50093596439581, 105.52661368682379, 103.37249121233964, 115.69953017916816, 110.92561405673609]"
